area_util,banheiros,vagas,quartos,suites,latitude,longitude,dist_terreno,preco,preco_m2
118,4,2,3,3,-26.99230194091797,-48.64510345458984,1.06257815341942,1800000,15254.237288135593
142,5,2,4,4,-26.9704532623291,-48.632766723632805,1.75600557977208,2300000,16197.18309859155
118,4,2,3,3,-26.9979,-48.6306,1.51776091965833,1316000,11152.542372881357
62,1,1,2,0,-26.979924,-48.637427,0.640844771518266,380000,6129.032258064516
96,2,2,3,1,-26.9900938,-48.630459,0.844825992120792,1400000,14583.333333333334
170,5,4,4,4,-27.0006,-48.6228,2.20274033653141,2642581,15544.594117647059
237,6,4,4,4,-27.0057878,-48.6049548,3.91909259801595,7799785,32910.48523206751
162,2,2,3,1,-26.99283027648925,-48.64590072631836,1.16040688579227,960000,5925.925925925926
105,2,2,3,1,-26.9718188,-48.63618600000001,1.54769787022343,920000,8761.904761904761
154,4,4,4,4,-27.007,-48.6081,3.75120857760419,1515000,9837.662337662337
133,4,3,4,2,-26.9793854,-48.6376626,0.701319994132997,1800000,13533.834586466166
146,5,2,4,4,-26.9723,-48.6359,1.49682653100342,1837700,12586.986301369863
74,1,2,3,1,-26.9826029,-48.643659800000016,0.710291552285763,850000,11486.486486486487
131,2,3,4,2,-26.9799853,-48.6368125,0.636571577439684,2888000,22045.801526717558
136,0,1,3,2,-26.9834134,-48.6360294,0.286109865893602,620000,4558.823529411765
62,2,1,2,1,-26.9686472,-48.6397475,1.91055781599147,620000,10000.0
110,3,2,3,3,-26.9714226,-48.6364013,1.59021813803265,1595000,14500.0
243,5,4,4,4,-26.97405242919921,-48.635215759277344,1.31226309775674,6900000,28395.061728395063
153,4,2,3,3,-26.991071701049805,-48.635208129882805,0.637881851763204,2800000,18300.65359477124
200,4,3,4,4,-27.007411760397943,-48.60729317717664,3.8422096779063,5698250,28491.25
125,2,1,3,1,-26.9832758,-48.6342086,0.413673994399919,1250000,10000.0
134,4,2,3,3,-26.9880206,-48.6387704,0.294382660481791,1300000,9701.492537313432
111,2,2,3,1,-26.9989354,-48.62473950000003,1.93679591524606,990000,8918.918918918918
